iso3c,ref_area.label,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
CRI,Costa Rica,Costa Rica,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,2068.5205454545453,519.4495454545455,60.776363636363634,379.34063636363635,346.2339090909091,0.1058924638431775,25.112128888253295,2.9532894429068772,18.338741531826482,16.868614459338826,0.8164197514344432
CYP,Cyprus,Cyprus,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,382.4629090909091,48.95590909090909,5.281454545454546,41.950545454545455,56.392818181818186,0.019579181778620405,12.800171710055308,1.3997049575373521,10.96852647862229,14.944875921736122,0.5337010090529932
CZE,Czechia,Czechia,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,5044.226636363636,712.2242727272727,10.909363636363636,677.8157272727273,275.21945454545454,0.2582259034756427,14.119593033209002,0.21639433939543315,13.437455850741909,5.459220296246355,0.16606177372925615
DEU,Germany,Germany,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,40092.08727272727,4332.714636363637,108.73845454545454,4035.8334545454545,3117.277727272727,2.052408863549323,10.806907125813265,0.2735044178917511,10.06640893274429,7.840733469279405,0.05059630924247574
DJI,Djibouti,Djibouti,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,74.881,21.713,2.384,21.012,7.5329999999999995,0.003833335667110113,28.99667472389525,3.3989649125308317,28.060522696011002,11.374686678947844,3.9833301369261536
DNK,Denmark,Denmark,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,2714.205,240.2569090909091,12.159727272727274,209.45954545454546,258.3434545454545,0.13894657969776852,8.851833560505161,0.45023217300128415,7.717160105981143,9.584503917980456,0.08392104209065146
DOM,Dominican Republic,Dominican Republic,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,4049.857,1664.368,327.3299090909091,1330.008090909091,711.832,0.20732176766864172,41.09695725058934,8.145111205909675,32.840865514735235,17.712861939359215,3.4037958512939093
ECU,Ecuador,Ecuador,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,6953.024727272727,3045.6634545454544,811.9183636363637,1898.6840909090909,973.1927272727272,0.35594179673552856,43.80343194522327,11.728650429511116,27.307311067967905,14.046480852112303,2.799248772419921
EGY,Egypt,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,24568.3158,5480.1385,582.9566,2830.8635,1889.8146,1.2577102500896746,22.30571498922201,2.3724378287108783,11.522415793759862,7.6937954619423445,1.1524217756935105
ESP,Spain,Spain,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,18403.526363636363,3091.3430909090907,60.05645454545454,2770.095272727273,2076.320090909091,0.9421200840043341,16.79755841259474,0.3279205461960088,15.05198089753451,11.333746262855742,0.05056212394510304
EST,Estonia,Estonia,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,623.1570909090909,58.044000000000004,0.8705454545454545,51.475818181818184,50.77727272727273,0.03190088677761244,9.314505258268454,0.14036684176365014,8.260488235273522,8.190596072443846,0.07642006161627321
ETH,Ethiopia,Ethiopia,Sub-Saharan Africa,Low income,04 Bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,35343.943,31095.511,8876.316,6628.705,3336.095,1.8093401172287602,87.97974521405266,25.124948009683006,18.75485426173305,9.402019821012736,1.7398270564796736
FIN,Finland,Finland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,2467.0977272727273,329.8731818181818,6.567818181818182,260.32190909090906,159.6698181818182,0.12629657339246061,13.370900478386917,0.26683272152312487,10.551746945942185,6.500540845673445,0.14569192732666103
