iso3c,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,ref_area.label,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
CUB,Cuba,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Cuba,,,,,647.5606666666666,,,,,18.01281743399489,
CYM,Cayman Islands,Latin America & Caribbean,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Cayman Islands,,,,,2.5625999999999998,,,,,11.993597423992812,
DZA,Algeria,Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Algeria,,,,,1287.0,,,,,12.714878482513337,
IMN,Isle of Man,Europe & Central Asia,High income,01 Altos ingresos,,Peq. estado,Excluíble,No OCDE,Isle of Man,,,,,2.8305,,,,,8.053433485553326,
MAC,"Macao SAR, China",East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,"Macau, China",,,,,17.3,,,,,67.44639376218323,
MYS,Malaysia,East Asia & Pacific,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Malaysia,,,,,1051.7833333333333,,,,,8.996393288380116,
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,Nigeria,,,,,1639.85,,,,,3.0102409872437628,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C5. Pequeña propiedad en el campo,No peq. estado,No excluible,No OCDE,Papua New Guinea,,,,,549.194,,,,,37.940051024813975,
POL,Poland,Europe & Central Asia,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,OCDE,Poland,,,,,990.8538181818182,,,,,6.277441002758381,
QAT,Qatar,Middle East & North Africa,High income,01 Altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Qatar,,,,,315.41200000000003,,,,,22.464762148956936,
REU,,,,,,,,,Réunion,,,,,13.69,,,,,5.891694389333838,
SGP,Singapore,East Asia & Pacific,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,Singapore,,,,,132.1,,,,,13.074954399558845,
UKR,Ukraine,Europe & Central Asia,Lower middle income,03 Medios-bajos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,Ukraine,,,,,1422.2104444444444,,,,,7.962403607541148,
