ref_area,ref_area.label,source,source.label,indicator,indicator.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,rama2,calif
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,NA,U,Unreliable,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,482.828,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,2.Media
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,0.778,U,Unreliable,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,6.222,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,9.SD
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,9.294,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,104.538,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,2.Media
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_L1,Occupation (Skill level): Skill level 1 ~ low,2017,497.182,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,1.Baja
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,OCU_SKILL_X,Occupation (Skill level): X - Not elsewhere classified,2017,3.893,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,9.SD
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L3-4,Occupation (Skill level): Skill levels 3 and 4 ~ high,2017,NA,U,Unreliable,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,3.Alta
AFG,Afghanistan,BB:6361,HIES - Households Living Conditions Survey,EMP_TEMP_ECO_OCU_NB,Employment by economic activity and occupation (thousands),ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",OCU_SKILL_L2,Occupation (Skill level): Skill level 2 ~ medium,2017,13.165,NA,NA,NA,NA,NA,NA,R1:3513,Repository: ILO-STATISTICS - Micro data processing,2.No_agro,2.Media
