ref_area,ref_area.label,catocup,1.Baja,2.Media,3.Alta,9.SD
DNK,Denmark,1.Asalariado_patr,259.59090909090907,1051.3744545454545,1149.9581818181819,20.325
DNK,Denmark,3.TCP_fliares,12.159727272727274,107.895,119.78990909090909,2.2365555555555554
DOM,Dominican Republic,1.Asalariado_patr,542.2966363636364,1190.7404545454544,620.9069090909092,31.653363636363636
DOM,Dominican Republic,3.TCP_fliares,327.3299090909091,1253.7083636363636,83.74627272727272,0
ECU,Ecuador,1.Asalariado_patr,960.665090909091,2079.2137272727273,836.9937272727273,30.606636363636362
ECU,Ecuador,3.TCP_fliares,811.9183636363637,2115.3642727272727,118.36645454545454,0
ECU,Ecuador,9.SD,9.34525,6.60075,0.09825,0
EGY,Egypt,1.Asalariado_patr,1446.0194000000001,10356.5098,7287.7731,17.56288888888889
EGY,Egypt,3.TCP_fliares,582.9566,4549.2125,349.5782,3.803
EGY,Egypt,9.SD,0,15.288499999999999,3.825,0
ESP,Spain,1.Asalariado_patr,2318.7799090909093,7950.928909090909,4952.702,89.77254545454545
ESP,Spain,3.TCP_fliares,60.05645454545454,1789.1775454545455,1242.6862727272728,0
ESP,Spain,9.SD,0,0.9826363636363635,1.6855454545454545,0
EST,Estonia,1.Asalariado_patr,53.81390909090909,272.932,235.32136363636363,3.8345454545454545
EST,Estonia,3.TCP_fliares,0.8705454545454545,22.324454545454547,34.93081818181818,0.08533333333333333
ETH,Ethiopia,1.Asalariado_patr,1059.21,1748.592,1428.499,12.13
ETH,Ethiopia,3.TCP_fliares,8876.316,22057.779000000002,158.298,0
ETH,Ethiopia,9.SD,97.018,44.642,12.395,0
FIN,Finland,1.Asalariado_patr,156.23681818181817,968.0808181818181,1006.1582727272727,13.187363636363637
FIN,Finland,3.TCP_fliares,6.567818181818182,198.67963636363638,125.67572727272727,0
FJI,Fiji,1.Asalariado_patr,29.288333333333334,106.83866666666667,56.547,1.6476666666666666
FJI,Fiji,3.TCP_fliares,9.370666666666667,129.11766666666665,7.3053333333333335,0
FJI,Fiji,9.SD,0.11,0.18,0.17,0
FRA,France,1.Asalariado_patr,2583.224090909091,10641.135545454545,10850.685090909092,286.04954545454547
FRA,France,3.TCP_fliares,18.311125,1090.1414545454545,792.9935454545455,14.014142857142858
FRA,France,9.SD,0,0,0,2.142714285714286
FSM,"Micronesia, Federated States of",1.Asalariado_patr,1.666,7.1370000000000005,6.172,0
FSM,"Micronesia, Federated States of",3.TCP_fliares,2.158,12.434,0.093,0
FSM,"Micronesia, Federated States of",9.SD,0.24,0.035,0.242,5.352
GBR,United Kingdom of Great Britain and Northern Ireland,1.Asalariado_patr,2514.901363636364,11036.170181818183,13247.565636363637,102.90727272727273
GBR,United Kingdom of Great Britain and Northern Ireland,3.TCP_fliares,269.0641818181818,1834.2951818181818,1665.6922727272727,1.6858181818181817
GBR,United Kingdom of Great Britain and Northern Ireland,9.SD,3.4785,13.633000000000001,13.248454545454546,0.8306363636363636
GEO,Georgia,1.Asalariado_patr,83.26472727272727,274.8822727272727,408.1504545454545,11.712454545454545
GEO,Georgia,3.TCP_fliares,10.968454545454545,860.5845454545455,19.823363636363634,0
