iso3c,calificacion,ocupacion,rama,freq
BGD,3.Alta,1.Asalariado_patr,2.No_agro,6.056802637188471
BGD,1.Baja,3.TCP_fliares,2.No_agro,2.297562751582111
BGD,2.Media,3.TCP_fliares,2.No_agro,21.96187132008294
BGD,3.Alta,3.TCP_fliares,2.No_agro,1.4844456934892334
BGR,1.Baja,1.Asalariado_patr,1.Agro,1.0766752583588106
BGR,2.Media,1.Asalariado_patr,1.Agro,2.4033015394869657
BGR,3.Alta,1.Asalariado_patr,1.Agro,0.1666107616147978
BGR,1.Baja,3.TCP_fliares,1.Agro,0.4151121562753654
BGR,2.Media,3.TCP_fliares,1.Agro,2.4736637496122134
BGR,3.Alta,3.TCP_fliares,1.Agro,0.3192059680274992
BGR,1.Baja,1.Asalariado_patr,2.No_agro,9.273996740978022
BGR,2.Media,1.Asalariado_patr,2.No_agro,48.602199908411336
BGR,3.Alta,1.Asalariado_patr,2.No_agro,26.45799439168544
BGR,1.Baja,3.TCP_fliares,2.No_agro,0.3020909376938486
BGR,2.Media,3.TCP_fliares,2.No_agro,4.2264756132232
BGR,3.Alta,3.TCP_fliares,2.No_agro,4.282672974632518
BHS,1.Baja,1.Asalariado_patr,1.Agro,0
BHS,2.Media,1.Asalariado_patr,1.Agro,0.4344882215629795
BHS,3.Alta,1.Asalariado_patr,1.Agro,0
BHS,1.Baja,3.TCP_fliares,1.Agro,0
BHS,2.Media,3.TCP_fliares,1.Agro,0.3132723046776555
BHS,3.Alta,3.TCP_fliares,1.Agro,0
BHS,1.Baja,1.Asalariado_patr,2.No_agro,14.094408873918303
BHS,2.Media,1.Asalariado_patr,2.No_agro,49.51310906823765
BHS,3.Alta,1.Asalariado_patr,2.No_agro,25.81237369770953
BHS,1.Baja,3.TCP_fliares,2.No_agro,0.6908777120860555
BHS,2.Media,3.TCP_fliares,2.No_agro,7.680337674648868
BHS,3.Alta,3.TCP_fliares,2.No_agro,1.4611324471589608
BIH,1.Baja,1.Asalariado_patr,1.Agro,0.7082827779586185
BIH,2.Media,1.Asalariado_patr,1.Agro,2.062685867397006
BIH,3.Alta,1.Asalariado_patr,1.Agro,0.23061326846288624
BIH,1.Baja,3.TCP_fliares,1.Agro,2.0101155990916086
BIH,2.Media,3.TCP_fliares,1.Agro,13.638908131481857
BIH,3.Alta,3.TCP_fliares,1.Agro,0.18537831531428065
BIH,1.Baja,1.Asalariado_patr,2.No_agro,7.461048928684356
BIH,2.Media,1.Asalariado_patr,2.No_agro,46.385635414554656
BIH,3.Alta,1.Asalariado_patr,2.No_agro,22.899266240776814
BIH,1.Baja,3.TCP_fliares,2.No_agro,0.27014811418700985
BIH,2.Media,3.TCP_fliares,2.No_agro,3.9130709423079946
BIH,3.Alta,3.TCP_fliares,2.No_agro,0.2348463997829121
