ref_area,ref_area.label,calif,1.Agro,2.No_agro,9.SD
EGY,Egypt,3.Alta,1222.6563,6408.8864,10.939833333333334
EGY,Egypt,9.SD,0,9.390666666666666,11.51525
ESP,Spain,1.Baja,302.853,2076.320090909091,0
ESP,Spain,2.Media,419.3082727272727,9323.469454545455,0
ESP,Spain,3.Alta,38.876636363636365,6158.9764545454545,0
ESP,Spain,9.SD,0,89.77254545454545,0
EST,Estonia,1.Baja,3.9136363636363636,50.77727272727273,0
EST,Estonia,2.Media,16.656909090909092,278.41518181818185,0.06825
EST,Estonia,3.Alta,4.078090909090909,266.1049090909091,0.115625
EST,Estonia,9.SD,0,3.250363636363636,0.4985555555555556
ETH,Ethiopia,1.Baja,6696.448,3336.095,0
ETH,Ethiopia,2.Media,18456.512,5394.502,0
ETH,Ethiopia,3.Alta,60.164,1539.027,0
ETH,Ethiopia,9.SD,2.395,12.854000000000001,0
FIN,Finland,1.Baja,2.3814545454545453,159.6698181818182,0.6575454545454545
FIN,Finland,2.Media,90.8580909090909,1073.0746363636365,2.8273636363636365
FIN,Finland,3.Alta,7.662454545454546,1122.607909090909,1.642090909090909
FIN,Finland,9.SD,0,11.262272727272727,1.5896363636363637
FJI,Fiji,1.Baja,11.071666666666667,27.802333333333333,0
FJI,Fiji,2.Media,118.35633333333332,118.75166666666667,0
FJI,Fiji,3.Alta,1.186,62.766,0
FJI,Fiji,9.SD,0,1.6116666666666666,0
FRA,France,1.Baja,26.663363636363638,2544.470181818182,25.46481818181818
FRA,France,2.Media,649.439,10992.993272727272,88.845
FRA,France,3.Alta,53.31436363636364,11509.153727272727,81.21063636363637
FRA,France,9.SD,0.365,243.3769090909091,52.42436363636364
FSM,"Micronesia, Federated States of",1.Baja,1.414,2.6510000000000002,0
FSM,"Micronesia, Federated States of",2.Media,10.875,8.728,0
FSM,"Micronesia, Federated States of",3.Alta,0,6.481,0
FSM,"Micronesia, Federated States of",9.SD,0,0,5.366
GBR,United Kingdom of Great Britain and Northern Ireland,1.Baja,75.84272727272727,2609.202818181818,100.99236363636363
GBR,United Kingdom of Great Britain and Northern Ireland,2.Media,180.35981818181818,12248.662909090908,455.21481818181815
GBR,United Kingdom of Great Britain and Northern Ireland,3.Alta,83.47,14384.184454545455,458.85227272727275
GBR,United Kingdom of Great Britain and Northern Ireland,9.SD,0,85.20763636363637,20.245818181818183
GEO,Georgia,1.Baja,13.743636363636364,80.77263636363637,0
GEO,Georgia,2.Media,734.0612727272727,401.82836363636363,0
GEO,Georgia,3.Alta,2.5906363636363636,426.3377272727273,0
GEO,Georgia,9.SD,0,11.588181818181818,4.361
GHA,Ghana,1.Baja,132.72675,415.7825,2.1115
GHA,Ghana,2.Media,4325.181,4842.43225,7.3133333333333335
GHA,Ghana,3.Alta,13.5875,1021.798,3.1455
GHA,Ghana,9.SD,2.141,11.08825,52.7425
GIN,Guinea,1.Baja,1.09,42.18,0
GIN,Guinea,2.Media,1729.38,1407.23,0.2
GIN,Guinea,3.Alta,3.67,100.9,0.39
GIN,Guinea,9.SD,0.7,49.05,0
GMB,Gambia,1.Baja,15.4555,97.386,0.6865
GMB,Gambia,2.Media,254.8655,219.519,3.2060000000000004
GMB,Gambia,3.Alta,0.531,54.3365,0.1395
GMB,Gambia,9.SD,2.7039999999999997,14.1195,19.688
GNB,Guinea-Bissau,1.Baja,4.736,20.981,0
GNB,Guinea-Bissau,2.Media,47.422,95.849,0
GNB,Guinea-Bissau,3.Alta,2.289,66.442,0.251
GNB,Guinea-Bissau,9.SD,0.164,5.888999999999999,283.253
GRC,Greece,1.Baja,29.335,239.8088181818182,0
GRC,Greece,2.Media,420.6077272727273,1838.598,0
GRC,Greece,3.Alta,2.5460000000000003,1177.921,0
GRC,Greece,9.SD,0,60.23490909090909,0.243
GRD,Grenada,1.Baja,2.959,18.231,0
GRD,Grenada,2.Media,8.679499999999999,59.239999999999995,0
GRD,Grenada,3.Alta,0.2635,23.7765,0
GRD,Grenada,9.SD,0,8.4095,0
GTM,Guatemala,1.Baja,931.9904,726.5665,0
GTM,Guatemala,2.Media,1046.0549,2821.4663,2.3355
GTM,Guatemala,3.Alta,9.858,640.8487,0
GTM,Guatemala,9.SD,12.953,4.7297,4.5360000000000005
GUY,Guyana,1.Baja,10.780999999999999,36.8815,0.189
GUY,Guyana,2.Media,25.8785,122.589,0.4125
GUY,Guyana,3.Alta,1.5565,45.316500000000005,0.097
GUY,Guyana,9.SD,0.11950000000000001,2.3695000000000004,5.185499999999999
HKG,"Hong Kong, China",1.Baja,0,612.1229999999999,65.52045454545454
HKG,"Hong Kong, China",2.Media,0,1246.1878,212.5712727272727
HKG,"Hong Kong, China",3.Alta,0,1226.9294545454545,140.4029090909091
HKG,"Hong Kong, China",9.SD,0,137.5368,63.862
HND,Honduras,1.Baja,463.1259090909091,393.79090909090905,1.455125
HND,Honduras,2.Media,616.0758181818181,1327.0967272727273,2.2234
HND,Honduras,3.Alta,10.278363636363636,576.2437272727273,0.5976666666666667
HND,Honduras,9.SD,0.22683333333333333,3.396727272727273,4.62275
HRV,Croatia,1.Baja,13.325909090909091,103.79354545454545,0
HRV,Croatia,2.Media,137.52036363636364,774.0309090909091,0.1989
HRV,Croatia,3.Alta,8.742727272727272,537.7741818181818,0.09685714285714286
HRV,Croatia,9.SD,0,12.352181818181817,1.3581818181818182
HUN,Hungary,1.Baja,27.856181818181817,366.3756363636364,0
HUN,Hungary,2.Media,149.92054545454545,2088.5777272727273,0
HUN,Hungary,3.Alta,20.033363636363635,1416.4305454545454,0
HUN,Hungary,9.SD,0,19.107636363636363,8.616
IDN,Indonesia,1.Baja,5364.930111111111,14210.468333333332,47.504000000000005
IDN,Indonesia,2.Media,34258.77988888889,50610.475,9.315999999999999
IDN,Indonesia,3.Alta,132.49755555555555,11254.325222222222,3.1390000000000002
IDN,Indonesia,9.SD,9.304666666666668,685.7004444444444,0
IMN,Isle of Man,1.Baja,0.1395,2.8305,0
IMN,Isle of Man,2.Media,0.593,17.415,0
IMN,Isle of Man,3.Alta,0.0975,14.071,0
IND,India,1.Baja,49476.67133333333,44399.95,758.137
IND,India,2.Media,106752.38333333333,102144.676,225.11
IND,India,3.Alta,2135.2346666666667,54904.874,1.765
